EmployeeID,FirstName,LastName,Gender,Age,Department,JobRole,Education,MaritalStatus,Salary,Experience,JoiningDate,PerformanceRating,Attrition,Overtime,WorkMode,State,Manager,AgeGroup,SalaryBand,ExperienceLevel,Tenure,JoiningYear
EMP00024,Rahul,Mishra,Male,29,Operations,Operations Executive,Diploma,Single,668385,3,2020-04-23,5,No,No,Office,Delhi,A. Sharma,21-30,Medium,Junior,6.2,2020
EMP00025,Kiran,Yadav,Female,31,Sales,Sales Executive,MBA,Married,764168,8,2019-12-28,5,No,No,Office,Telangana,R. Mehta,31-40,Medium,Mid-Level,6.5,2019
EMP00026,Rohit,Kapoor,Female,38,Operations,Operations Executive,Bachelor,Single,946517,12,2026-06-05,2,No,No,Hybrid,Telangana,N. Gupta,31-40,High,Senior,0.1,2026
EMP00027,Arjun,Gupta,Male,33,Finance,Accountant,MBA,Single,731959,3,2026-06-21,4,No,No,Remote,Tamil Nadu,R. Mehta,31-40,Medium,Junior,0,2026
EMP00028,Sneha,Rao,Female,38,Marketing,Marketing Executive,Diploma,Married,844171,11,2017-10-17,4,No,No,Hybrid,Delhi,A. Sharma,31-40,High,Senior,8.7,2017
EMP00029,Sneha,Kumar,Male,33,Marketing,Marketing Executive,Diploma,Divorced,709695,6,2015-01-04,3,No,No,Remote,Delhi,A. Sharma,31-40,Medium,Mid-Level,11.5,2015
EMP00030,Aditya,Kumar,Female,38,Sales,Sales Manager,Bachelor,Single,1027000,14,2018-10-22,5,No,No,Remote,Karnataka,S. Reddy,31-40,High,Senior,7.7,2018
EMP00031,Suresh,Nair,Male,21,IT,Senior Developer,Diploma,Married,652092,0,2025-03-19,5,No,No,Hybrid,Telangana,S. Reddy,21-30,Medium,Fresher,1.3,2025
EMP00032,Vivaan,Rao,Male,30,Operations,Operations Executive,Bachelor,Married,623683,3,2025-06-02,3,No,No,Office,Kerala,P. Rao,21-30,Medium,Junior,1.1,2025
EMP00033,Kavya,Naidu,Female,44,Operations,Operations Manager,Master,Divorced,1046162,14,2018-07-27,5,No,No,Hybrid,Kerala,N. Gupta,41-50,High,Senior,7.9,2018
EMP00034,Sai,Patel,Male,36,Sales,Sales Executive,Diploma,Divorced,760155,8,2016-10-22,4,No,Yes,Office,Delhi,S. Reddy,31-40,Medium,Mid-Level,9.7,2016
EMP00035,Rohit,Nair,Male,39,HR,HR Manager,Diploma,Married,946121,13,2024-06-03,5,No,No,Office,Karnataka,A. Sharma,31-40,High,Senior,2.1,2024
EMP00036,Aarav,Gupta,Female,46,Sales,Sales Manager,Diploma,Divorced,1144069,17,2025-11-22,3,No,No,Office,Kerala,P. Rao,41-50,High,Senior,0.6,2025
EMP00037,Rahul,Sharma,Female,42,IT,Software Engineer,Diploma,Married,1113975,12,2025-05-10,2,No,Yes,Office,Tamil Nadu,A. Sharma,41-50,High,Senior,1.2,2025
EMP00038,Neha,Verma,Male,35,Finance,Financial Analyst,Bachelor,Single,883065,8,2016-03-02,2,No,No,Office,Telangana,R. Mehta,31-40,High,Mid-Level,10.3,2016
EMP00039,Neha,Patel,Male,30,Marketing,Marketing Executive,Master,Married,757070,7,2020-09-30,2,No,No,Office,Maharashtra,R. Mehta,21-30,Medium,Mid-Level,5.8,2020
EMP00040,Nikhil,Mishra,Male,36,Finance,Financial Analyst,MBA,Divorced,999961,12,2017-09-18,3,No,Yes,Hybrid,Delhi,A. Sharma,31-40,High,Senior,8.8,2017
EMP00041,Sai,Gupta,Male,27,HR,HR Manager,MBA,Divorced,484251,0,2025-04-24,2,No,No,Remote,Kerala,P. Rao,21-30,Low,Fresher,1.2,2025
EMP00042,Ananya,Mishra,Female,43,Sales,Sales Manager,Diploma,Married,1142245,18,2025-02-09,3,Yes,No,Office,Tamil Nadu,A. Sharma,41-50,High,Senior,1.4,2025
EMP00043,Varun,Sharma,Male,32,IT,System Admin,Bachelor,Single,863862,6,2021-03-13,4,No,Yes,Remote,Tamil Nadu,P. Rao,31-40,High,Mid-Level,5.3,2021
EMP00044,Sneha,Kapoor,Female,43,Marketing,Marketing Executive,Diploma,Divorced,1033743,15,2020-06-16,2,Yes,Yes,Remote,Karnataka,P. Rao,41-50,High,Senior,6.1,2020
EMP00045,Aisha,Reddy,Male,39,Operations,Operations Manager,Master,Single,910509,11,2019-04-27,4,Yes,Yes,Remote,Tamil Nadu,A. Sharma,31-40,High,Senior,7.2,2019
EMP00046,Priya,Sharma,Male,27,Operations,Operations Manager,MBA,Divorced,633829,3,2017-11-02,3,No,No,Office,Delhi,P. Rao,21-30,Medium,Junior,8.7,2017
EMP00047,Priya,Yadav,Female,43,HR,HR Executive,Bachelor,Single,1111524,18,2016-02-25,5,No,No,Hybrid,Tamil Nadu,R. Mehta,41-50,High,Senior,10.4,2016
EMP00048,Ishita,Joshi,Male,27,Marketing,Marketing Executive,Diploma,Married,663772,4,2024-05-02,4,Yes,Yes,Hybrid,Karnataka,N. Gupta,21-30,Medium,Junior,2.2,2024
EMP00049,Priya,Kapoor,Male,48,Sales,Sales Manager,Master,Single,1107894,18,2019-09-25,2,No,No,Office,Maharashtra,R. Mehta,41-50,High,Senior,6.8,2019
EMP00050,Pooja,Reddy,Male,41,IT,Software Engineer,MBA,Divorced,1152832,13,2021-05-05,5,Yes,Yes,Remote,Delhi,S. Reddy,41-50,High,Senior,5.2,2021
EMP00051,Sneha,Joshi,Female,41,Sales,Sales Executive,Diploma,Single,1084528,17,2018-09-21,4,Yes,No,Hybrid,Delhi,A. Sharma,41-50,High,Senior,7.8,2018
EMP00052,Aisha,Joshi,Female,37,Operations,Operations Manager,Bachelor,Single,840776,8,2024-09-09,5,No,No,Office,Delhi,N. Gupta,31-40,High,Mid-Level,1.8,2024
EMP00053,Rahul,Joshi,Female,38,Marketing,Marketing Executive,Diploma,Single,735273,8,2021-03-28,3,No,No,Hybrid,Karnataka,P. Rao,31-40,Medium,Mid-Level,5.3,2021
EMP00054,Varun,Sharma,Female,26,Finance,Financial Analyst,Bachelor,Married,718228,3,2023-12-25,5,No,No,Hybrid,Karnataka,R. Mehta,21-30,Medium,Junior,2.5,2023
EMP00055,Pooja,Mishra,Male,45,Sales,Sales Executive,Master,Married,1119165,17,2026-03-07,2,No,Yes,Remote,Telangana,A. Sharma,41-50,High,Senior,0.3,2026
EMP00056,Varun,Gupta,Male,24,Sales,Sales Manager,Master,Single,654806,3,2015-04-23,3,No,No,Hybrid,Andhra Pradesh,K. Singh,21-30,Medium,Junior,11.2,2015
EMP00057,Pooja,Rao,Male,38,IT,System Admin,Diploma,Single,970838,9,2020-06-19,5,No,No,Remote,Maharashtra,K. Singh,31-40,High,Mid-Level,6,2020
EMP00058,Nikhil,Joshi,Female,35,IT,Software Engineer,Master,Married,944548,8,2021-09-11,4,No,No,Remote,Tamil Nadu,A. Sharma,31-40,High,Mid-Level,4.8,2021
EMP00059,Vivaan,Singh,Female,40,Finance,Financial Analyst,Diploma,Married,1084727,14,2024-03-19,3,No,No,Remote,Kerala,K. Singh,31-40,High,Senior,2.3,2024
EMP00060,Arjun,Rao,Female,24,IT,System Admin,Bachelor,Divorced,720836,1,2024-11-15,4,No,No,Office,Tamil Nadu,K. Singh,21-30,Medium,Fresher,1.6,2024
EMP00061,Aisha,Kapoor,Female,40,IT,Software Engineer,Bachelor,Divorced,1189375,15,2023-07-11,5,No,No,Office,Telangana,K. Singh,31-40,High,Senior,3,2023
EMP00062,Pooja,Patel,Female,29,Operations,Operations Manager,Bachelor,Single,791881,7,2017-04-03,2,No,No,Hybrid,Kerala,R. Mehta,21-30,Medium,Mid-Level,9.3,2017
EMP00063,Rahul,Patel,Male,38,Finance,Financial Analyst,Diploma,Divorced,974080,11,2019-01-15,3,No,No,Remote,Telangana,P. Rao,31-40,High,Senior,7.5,2019
EMP00064,Sneha,Kapoor,Male,35,Marketing,Marketing Executive,Bachelor,Married,728289,7,2025-06-08,5,Yes,Yes,Hybrid,Maharashtra,A. Sharma,31-40,Medium,Mid-Level,1.1,2025
EMP00065,Ananya,Gupta,Female,36,Operations,Operations Manager,MBA,Divorced,809599,8,2017-05-23,3,No,No,Hybrid,Andhra Pradesh,K. Singh,31-40,High,Mid-Level,9.1,2017
EMP00066,Ishita,Mishra,Female,30,Sales,Sales Manager,Master,Divorced,476428,0,2020-02-29,5,No,No,Office,Maharashtra,A. Sharma,21-30,Low,Fresher,6.4,2020
EMP00067,Sai,Reddy,Female,42,Operations,Operations Executive,MBA,Divorced,1195167,20,2023-03-08,4,Yes,No,Hybrid,Telangana,S. Reddy,41-50,High,Senior,3.3,2023
EMP00068,Sneha,Das,Female,45,IT,QA Engineer,Bachelor,Married,1215720,16,2025-10-22,3,No,Yes,Office,Telangana,S. Reddy,41-50,Very High,Senior,0.7,2025
EMP00069,Neha,Kapoor,Female,43,Operations,Operations Manager,Diploma,Divorced,1096836,17,2025-03-14,5,No,Yes,Hybrid,Andhra Pradesh,K. Singh,41-50,High,Senior,1.3,2025
EMP00070,Pooja,Nair,Female,30,IT,System Admin,Diploma,Single,693584,0,2016-06-01,4,No,No,Office,Andhra Pradesh,R. Mehta,21-30,Medium,Fresher,10.1,2016
EMP00071,Nikhil,Das,Male,25,Finance,Financial Analyst,Diploma,Divorced,705775,3,2024-05-26,3,No,No,Office,Kerala,P. Rao,21-30,Medium,Junior,2.1,2024
EMP00072,Arjun,Kapoor,Female,29,Marketing,Digital Marketer,MBA,Single,778566,8,2023-02-19,3,No,No,Hybrid,Karnataka,S. Reddy,21-30,Medium,Mid-Level,3.4,2023
EMP00073,Nikhil,Verma,Male,26,HR,HR Manager,Master,Divorced,568269,2,2017-10-28,2,No,Yes,Office,Kerala,S. Reddy,21-30,Medium,Fresher,8.7,2017
EMP00074,Arjun,Kapoor,Male,40,Finance,Accountant,Master,Single,1271342,19,2018-11-30,3,No,No,Hybrid,Kerala,S. Reddy,31-40,Very High,Senior,7.6,2018
EMP00075,Aditya,Naidu,Female,23,Marketing,Digital Marketer,MBA,Divorced,484782,0,2017-07-20,2,No,Yes,Remote,Andhra Pradesh,P. Rao,21-30,Low,Fresher,9,2017
EMP00076,Kavya,Yadav,Female,40,Marketing,Marketing Executive,Diploma,Divorced,1183347,19,2016-05-13,4,No,No,Office,Tamil Nadu,K. Singh,31-40,High,Senior,10.2,2016
EMP00077,Rohit,Joshi,Female,28,Sales,Sales Executive,Diploma,Divorced,619730,2,2022-04-17,3,No,Yes,Remote,Tamil Nadu,R. Mehta,21-30,Medium,Fresher,4.2,2022
EMP00078,Pooja,Gupta,Female,49,Operations,Operations Executive,Bachelor,Married,1218183,20,2022-08-08,5,No,No,Hybrid,Karnataka,K. Singh,41-50,Very High,Senior,3.9,2022
EMP00079,Neha,Mishra,Male,32,Finance,Financial Analyst,Bachelor,Divorced,718799,4,2017-03-02,2,Yes,No,Remote,Maharashtra,A. Sharma,31-40,Medium,Junior,9.3,2017
EMP00080,Arjun,Joshi,Male,39,Operations,Operations Executive,Master,Divorced,1000435,13,2022-11-20,2,No,No,Hybrid,Telangana,R. Mehta,31-40,High,Senior,3.6,2022
EMP00081,Ishita,Nair,Female,28,Finance,Financial Analyst,Bachelor,Single,750248,3,2015-08-04,3,No,No,Hybrid,Delhi,A. Sharma,21-30,Medium,Junior,10.9,2015
EMP00082,Aditya,Das,Male,23,Finance,Financial Analyst,Diploma,Married,588776,0,2015-09-09,5,No,Yes,Hybrid,Karnataka,S. Reddy,21-30,Medium,Fresher,10.8,2015
EMP00083,Aditya,Kumar,Female,40,Finance,Financial Analyst,Diploma,Married,998148,10,2016-02-12,2,Yes,No,Remote,Tamil Nadu,P. Rao,31-40,High,Mid-Level,10.4,2016
EMP00084,Meera,Kapoor,Female,38,Finance,Accountant,Bachelor,Single,1175242,16,2025-11-30,5,No,Yes,Hybrid,Maharashtra,R. Mehta,31-40,High,Senior,0.6,2025
EMP00085,Suresh,Patel,Male,33,HR,HR Executive,Diploma,Divorced,752987,9,2026-02-26,4,Yes,Yes,Remote,Telangana,N. Gupta,31-40,Medium,Mid-Level,0.4,2026
EMP00086,Nikhil,Gupta,Female,29,Marketing,Digital Marketer,Diploma,Married,525544,2,2022-01-08,5,No,Yes,Office,Tamil Nadu,R. Mehta,21-30,Medium,Fresher,4.5,2022
EMP00087,Nikhil,Gupta,Male,47,Finance,Accountant,Diploma,Married,1282428,19,2024-10-09,2,Yes,No,Remote,Karnataka,S. Reddy,41-50,Very High,Senior,1.7,2024
EMP00088,Ananya,Reddy,Male,31,Finance,Accountant,MBA,Single,654945,2,2018-04-24,3,No,No,Office,Maharashtra,S. Reddy,31-40,Medium,Fresher,8.2,2018
EMP00089,Aisha,Patel,Female,33,Operations,Operations Executive,Bachelor,Married,725811,5,2022-04-01,5,No,No,Hybrid,Delhi,A. Sharma,31-40,Medium,Junior,4.3,2022
EMP00090,Sneha,Reddy,Male,40,Finance,Accountant,Diploma,Married,964724,11,2023-04-09,4,Yes,No,Remote,Maharashtra,K. Singh,31-40,High,Senior,3.2,2023
EMP00091,Arjun,Mishra,Female,42,HR,HR Manager,Bachelor,Divorced,1092143,18,2025-02-07,5,No,No,Remote,Telangana,R. Mehta,41-50,High,Senior,1.4,2025
EMP00092,Suresh,Mishra,Female,43,IT,System Admin,Bachelor,Divorced,1178517,14,2023-09-09,3,No,No,Remote,Karnataka,R. Mehta,41-50,High,Senior,2.8,2023
EMP00093,Aisha,Reddy,Male,44,Finance,Accountant,MBA,Married,1202243,17,2018-05-16,4,No,No,Remote,Delhi,K. Singh,41-50,Very High,Senior,8.1,2018
EMP00094,Meera,Reddy,Female,41,Sales,Sales Executive,MBA,Single,1175577,19,2017-11-12,5,No,No,Hybrid,Karnataka,S. Reddy,41-50,High,Senior,8.6,2017
EMP00095,Meera,Mishra,Male,39,IT,QA Engineer,MBA,Divorced,1174693,15,2017-04-08,3,No,Yes,Office,Maharashtra,P. Rao,31-40,High,Senior,9.2,2017
EMP00096,Pooja,Joshi,Female,35,IT,Senior Developer,Diploma,Single,816697,5,2020-04-29,5,No,Yes,Remote,Telangana,A. Sharma,31-40,High,Junior,6.2,2020
EMP00097,Meera,Gupta,Male,41,Sales,Sales Executive,Master,Divorced,912749,11,2026-04-12,5,No,No,Office,Kerala,A. Sharma,41-50,High,Senior,0.2,2026
EMP00098,Pooja,Nair,Male,40,HR,HR Manager,Diploma,Single,818446,11,2021-02-12,2,No,Yes,Office,Kerala,P. Rao,31-40,High,Senior,5.4,2021
EMP00099,Ananya,Sharma,Female,34,Finance,Accountant,Bachelor,Divorced,1076964,13,2023-05-30,4,No,Yes,Remote,Karnataka,S. Reddy,31-40,High,Senior,3.1,2023
EMP00100,Aarav,Kumar,Male,37,IT,Software Engineer,Master,Divorced,953191,9,2016-10-11,5,Yes,No,Remote,Maharashtra,N. Gupta,31-40,High,Mid-Level,9.7,2016
EMP00101,Aditya,Reddy,Female,33,Sales,Sales Executive,Bachelor,Divorced,824472,9,2025-04-02,2,No,Yes,Remote,Maharashtra,S. Reddy,31-40,High,Mid-Level,1.3,2025
EMP00102,Meera,Singh,Male,36,Operations,Operations Executive,Bachelor,Married,805205,9,2016-12-02,4,No,Yes,Hybrid,Andhra Pradesh,K. Singh,31-40,High,Mid-Level,9.6,2016
EMP00103,Nikhil,Das,Female,29,Sales,Sales Manager,Master,Single,796805,8,2017-04-29,2,No,Yes,Hybrid,Maharashtra,A. Sharma,21-30,Medium,Mid-Level,9.2,2017
EMP00104,Vivaan,Kumar,Male,42,Operations,Operations Executive,Bachelor,Single,1003891,14,2025-04-07,3,No,Yes,Office,Karnataka,A. Sharma,41-50,High,Senior,1.2,2025
EMP00105,Vivaan,Yadav,Female,45,Marketing,Digital Marketer,MBA,Single,1078202,17,2023-01-03,2,No,No,Hybrid,Tamil Nadu,P. Rao,41-50,High,Senior,3.5,2023
EMP00106,Aditya,Das,Female,38,Operations,Operations Manager,Bachelor,Married,934486,12,2020-12-24,5,No,No,Remote,Kerala,S. Reddy,31-40,High,Senior,5.5,2020
EMP00107,Rahul,Das,Female,32,Marketing,Digital Marketer,MBA,Married,810494,10,2024-07-22,4,No,No,Office,Delhi,A. Sharma,31-40,High,Mid-Level,2,2024
EMP00108,Aarav,Patel,Female,29,Marketing,Digital Marketer,Bachelor,Single,739835,8,2018-08-03,5,No,No,Office,Telangana,K. Singh,21-30,Medium,Mid-Level,7.9,2018
EMP00109,Pooja,Mishra,Male,42,Finance,Financial Analyst,Master,Divorced,994244,12,2023-05-06,3,No,No,Hybrid,Tamil Nadu,A. Sharma,41-50,High,Senior,3.2,2023
EMP00110,Priya,Mishra,Female,29,Operations,Operations Manager,Diploma,Single,738396,7,2017-08-22,3,No,No,Remote,Karnataka,K. Singh,21-30,Medium,Mid-Level,8.9,2017
EMP00111,Aisha,Kapoor,Female,26,Sales,Sales Executive,Bachelor,Divorced,584706,3,2016-12-20,5,No,Yes,Remote,Karnataka,A. Sharma,21-30,Medium,Junior,9.5,2016
EMP00112,Kavya,Sharma,Female,40,IT,Senior Developer,MBA,Married,1034391,11,2020-04-23,2,No,No,Remote,Telangana,N. Gupta,31-40,High,Senior,6.2,2020
EMP00113,Sai,Singh,Male,36,HR,HR Executive,Diploma,Married,797739,9,2016-08-27,5,No,No,Remote,Maharashtra,A. Sharma,31-40,Medium,Mid-Level,9.9,2016
EMP00114,Rahul,Patel,Female,31,IT,Senior Developer,Master,Married,825911,4,2021-10-27,2,No,No,Remote,Karnataka,R. Mehta,31-40,High,Junior,4.7,2021
EMP00115,Meera,Kapoor,Male,49,Finance,Accountant,Master,Single,1305972,20,2017-02-04,3,No,No,Remote,Maharashtra,K. Singh,41-50,Very High,Senior,9.4,2017
EMP00116,Kiran,Mishra,Female,39,Marketing,Digital Marketer,Bachelor,Married,1083718,18,2020-12-08,2,No,Yes,Remote,Maharashtra,A. Sharma,31-40,High,Senior,5.6,2020
EMP00117,Pooja,Gupta,Female,39,Operations,Operations Manager,Diploma,Single,1068227,15,2018-07-18,4,No,No,Hybrid,Maharashtra,S. Reddy,31-40,High,Senior,8,2018
EMP00118,Pooja,Reddy,Female,38,Finance,Financial Analyst,Diploma,Single,972139,11,2020-06-03,4,Yes,No,Office,Andhra Pradesh,R. Mehta,31-40,High,Senior,6.1,2020
EMP00119,Kiran,Mishra,Male,46,Finance,Financial Analyst,Diploma,Divorced,1267541,19,2022-01-05,3,No,No,Hybrid,Tamil Nadu,A. Sharma,41-50,Very High,Senior,4.5,2022
EMP00120,Vivaan,Sharma,Female,29,Sales,Sales Executive,Diploma,Divorced,606249,2,2022-11-30,5,No,No,Remote,Delhi,P. Rao,21-30,Medium,Fresher,3.6,2022
EMP00121,Vivaan,Gupta,Male,30,Finance,Accountant,Master,Married,692555,3,2023-03-17,4,No,No,Remote,Karnataka,R. Mehta,21-30,Medium,Junior,3.3,2023
EMP00122,Varun,Singh,Male,42,Sales,Sales Manager,Master,Divorced,1080572,17,2022-08-09,3,No,No,Remote,Tamil Nadu,N. Gupta,41-50,High,Senior,3.9,2022
EMP00123,Aisha,Nair,Female,24,HR,HR Executive,Master,Married,498652,1,2018-02-19,5,Yes,No,Remote,Delhi,A. Sharma,21-30,Low,Fresher,8.4,2018
EMP00124,Neha,Singh,Male,45,Marketing,Digital Marketer,Diploma,Divorced,1079774,16,2015-05-17,5,No,No,Hybrid,Kerala,K. Singh,41-50,High,Senior,11.1,2015
EMP00125,Meera,Kapoor,Female,47,Operations,Operations Executive,Master,Divorced,1189803,19,2018-10-28,3,No,No,Office,Andhra Pradesh,N. Gupta,41-50,High,Senior,7.7,2018
EMP00126,Suresh,Rao,Female,27,Operations,Operations Executive,Bachelor,Divorced,757807,6,2019-07-29,4,No,No,Office,Maharashtra,S. Reddy,21-30,Medium,Mid-Level,6.9,2019
EMP00127,Varun,Singh,Female,44,Marketing,Digital Marketer,Diploma,Single,1024391,15,2022-09-05,4,No,No,Office,Karnataka,N. Gupta,41-50,High,Senior,3.8,2022
EMP00128,Sneha,Reddy,Female,34,Finance,Accountant,Diploma,Married,912168,9,2021-02-18,5,No,Yes,Office,Karnataka,R. Mehta,31-40,High,Mid-Level,5.4,2021
EMP00129,Varun,Das,Female,39,Finance,Accountant,Master,Single,988612,11,2021-01-30,5,No,Yes,Remote,Delhi,N. Gupta,31-40,High,Senior,5.4,2021
EMP00130,Arjun,Kapoor,Male,30,IT,Senior Developer,Bachelor,Divorced,684579,1,2025-08-05,3,No,Yes,Office,Tamil Nadu,K. Singh,21-30,Medium,Fresher,0.9,2025
EMP00131,Nikhil,Verma,Male,44,Sales,Sales Manager,Master,Married,1207649,20,2017-01-02,4,Yes,Yes,Office,Andhra Pradesh,P. Rao,41-50,Very High,Senior,9.5,2017
EMP00132,Sneha,Naidu,Female,30,Sales,Sales Executive,Master,Divorced,786214,9,2022-07-07,4,Yes,No,Hybrid,Karnataka,S. Reddy,21-30,Medium,Mid-Level,4,2022
EMP00133,Nikhil,Kapoor,Male,33,HR,HR Manager,Master,Divorced,628720,5,2021-08-13,3,No,Yes,Remote,Tamil Nadu,P. Rao,31-40,Medium,Junior,4.9,2021
EMP00134,Aarav,Kumar,Female,29,Marketing,Digital Marketer,Master,Married,532502,2,2020-07-25,3,No,No,Hybrid,Karnataka,A. Sharma,21-30,Medium,Fresher,5.9,2020
EMP00135,Rohit,Kapoor,Female,34,Marketing,Marketing Executive,Bachelor,Divorced,760972,8,2018-08-01,2,No,No,Hybrid,Karnataka,N. Gupta,31-40,Medium,Mid-Level,7.9,2018
EMP00136,Varun,Nair,Female,32,IT,Senior Developer,Master,Single,780078,4,2024-04-29,5,No,No,Remote,Kerala,N. Gupta,31-40,Medium,Junior,2.2,2024
EMP00137,Kiran,Joshi,Male,42,HR,HR Manager,Master,Married,990237,16,2026-05-03,2,No,Yes,Remote,Tamil Nadu,R. Mehta,41-50,High,Senior,0.2,2026
EMP00138,Pooja,Joshi,Male,46,Operations,Operations Executive,Diploma,Divorced,1131919,18,2024-04-26,5,No,No,Hybrid,Delhi,R. Mehta,41-50,High,Senior,2.2,2024
EMP00139,Varun,Sharma,Male,24,Sales,Sales Manager,Diploma,Single,545800,0,2016-06-06,2,No,Yes,Hybrid,Tamil Nadu,S. Reddy,21-30,Medium,Fresher,10.1,2016
EMP00140,Neha,Reddy,Male,38,IT,System Admin,Diploma,Divorced,1063790,11,2017-12-25,5,No,No,Office,Delhi,S. Reddy,31-40,High,Senior,8.5,2017
EMP00141,Pooja,Singh,Male,37,HR,HR Executive,MBA,Single,806361,9,2020-07-20,5,No,No,Remote,Kerala,R. Mehta,31-40,High,Mid-Level,6,2020
EMP00142,Ishita,Kapoor,Male,40,HR,HR Manager,Master,Divorced,1116544,19,2025-01-05,3,No,Yes,Office,Tamil Nadu,P. Rao,31-40,High,Senior,1.5,2025
EMP00143,Nikhil,Joshi,Female,24,IT,Senior Developer,Master,Married,721046,1,2022-02-25,4,No,Yes,Office,Delhi,N. Gupta,21-30,Medium,Fresher,4.4,2022
EMP00144,Vivaan,Singh,Female,34,IT,System Admin,MBA,Divorced,942989,9,2026-02-12,3,No,No,Hybrid,Tamil Nadu,S. Reddy,31-40,High,Mid-Level,0.4,2026
